county,year,population,population_year_used,total_crashes,crashes_per_100k,impaired_crashes,impaired_crashes_per_100k,fatalities,injuries,owi_probation_cases,owi_probation_per_100k,owi_reincarcerated,unemployment_rate,median_household_income,liquor_sale_dollars,liquor_volume_liters,liquor_bottles_sold,liquor_dollars_per_100k
ADAIR,2000,8243,2000,0,0.000,0,0.000,0,0,0,0.000,0,2.692,,,,,
ADAIR,2001,8077,2001,0,0.000,0,0.000,0,0,0,0.000,0,2.775,,,,,
ADAIR,2002,7964,2002,0,0.000,0,0.000,0,0,0,0.000,0,3.658,,,,,
ADAIR,2003,7916,2003,0,0.000,0,0.000,0,0,0,0.000,0,4.050,,,,,
ADAIR,2004,7847,2004,0,0.000,0,0.000,0,0,0,0.000,0,4.158,,,,,
ADAIR,2005,7721,2005,0,0.000,0,0.000,0,0,0,0.000,0,4.050,,,,,
ADAIR,2006,7677,2006,0,0.000,0,0.000,0,0,0,0.000,0,3.183,,,,,
ADAIR,2007,7584,2007,0,0.000,0,0.000,0,0,0,0.000,0,3.500,,,,,
ADAIR,2008,7445,2008,0,0.000,0,0.000,0,0,0,0.000,0,3.958,,,,,
ADAIR,2009,7350,2009,0,0.000,0,0.000,0,0,0,0.000,0,5.850,,,,,
ADAIR,2010,7682,2010,0,0.000,0,0.000,0,0,0,0.000,0,5.608,,,,,
ADAIR,2011,7546,2011,0,0.000,0,0.000,0,0,0,0.000,0,4.908,,,,,
ADAIR,2012,7468,2012,0,0.000,0,0.000,0,0,0,0.000,0,4.350,47872,,,,
ADAIR,2013,7387,2013,0,0.000,0,0.000,0,0,0,0.000,0,4.208,47892,,,,
ADAIR,2014,7368,2014,143,1940.825,10,135.722,5,60,0,0.000,0,4.050,47264,,,,
ADAIR,2015,7145,2015,183,2561.232,11,153.954,0,57,0,0.000,0,3.200,46526,,,,
ADAIR,2016,7005,2016,188,2683.797,17,242.684,5,51,12,171.306,0,3.033,48765,,,,
ADAIR,2017,7051,2017,195,2765.565,9,127.641,2,53,10,141.824,2,2.850,49477,,,,
ADAIR,2018,7074,2018,221,3124.116,5,70.681,4,79,8,113.090,0,2.525,51859,,,,
ADAIR,2019,7152,2019,230,3215.884,17,237.696,6,79,5,69.911,1,2.375,53363,,,,
ADAIR,2020,7496,2020,230,3068.303,13,173.426,6,90,5,66.702,1,4.025,55700,,,,
ADAIR,2021,7522,2021,219,2911.460,4,53.177,2,64,15,199.415,0,2.900,57944,,,,
ADAIR,2022,7457,2022,217,2910.017,8,107.282,5,61,21,281.615,0,2.292,63172,,,,
ADAIR,2023,7399,2023,184,2486.823,6,81.092,0,72,0,0.000,0,2.508,66176,,,,
ADAIR,2024,7431,2024,169,2274.256,5,67.286,0,51,0,0.000,0,2.633,,,,,
ADAIR,2025,7431,2024,65,874.714,8,107.657,0,17,0,0.000,0,2.764,,518868,24962,44206,6982484.053
ADAIR,2026,7431,2024,0,0.000,0,0.000,0,0,0,0.000,0,,,78149,4046,6712,1051658.592
ADAMS,2000,4482,2000,0,0.000,0,0.000,0,0,0,0.000,0,3.833,,,,,
ADAMS,2001,4396,2001,0,0.000,0,0.000,0,0,0,0.000,0,4.233,,,,,
ADAMS,2002,4350,2002,0,0.000,0,0.000,0,0,0,0.000,0,4.733,,,,,
ADAMS,2003,4321,2003,0,0.000,0,0.000,0,0,0,0.000,0,5.008,,,,,
ADAMS,2004,4256,2004,0,0.000,0,0.000,0,0,0,0.000,0,5.000,,,,,
ADAMS,2005,4159,2005,0,0.000,0,0.000,0,0,0,0.000,0,5.267,,,,,
ADAMS,2006,4141,2006,0,0.000,0,0.000,0,0,0,0.000,0,4.558,,,,,
ADAMS,2007,4099,2007,0,0.000,0,0.000,0,0,0,0.000,0,4.167,,,,,
ADAMS,2008,4032,2008,0,0.000,0,0.000,0,0,0,0.000,0,4.150,,,,,
ADAMS,2009,3930,2009,0,0.000,0,0.000,0,0,0,0.000,0,6.183,,,,,
ADAMS,2010,4029,2010,0,0.000,0,0.000,0,0,0,0.000,0,4.875,,,,,
ADAMS,2011,3994,2011,0,0.000,0,0.000,0,0,0,0.000,0,4.475,,,,,
ADAMS,2012,3910,2012,0,0.000,0,0.000,0,0,0,0.000,0,3.933,45099,,,,
ADAMS,2013,3891,2013,0,0.000,0,0.000,0,0,0,0.000,0,3.675,45871,,,,
ADAMS,2014,3877,2014,48,1238.071,4,103.173,2,16,0,0.000,0,3.350,47335,,,,
ADAMS,2015,3754,2015,55,1465.104,2,53.277,1,21,0,0.000,0,2.775,48043,,,,
ADAMS,2016,3692,2016,38,1029.252,4,108.342,0,14,2,54.171,0,3.075,48598,,,,
ADAMS,2017,3657,2017,41,1121.138,5,136.724,0,20,10,273.448,0,2.758,49745,,,,
ADAMS,2018,3644,2018,27,740.944,3,82.327,0,5,8,219.539,0,2.333,49229,,,,
ADAMS,2019,3602,2019,27,749.584,2,55.525,1,12,14,388.673,0,2.017,49255,,,,
ADAMS,2020,3704,2020,32,863.931,3,80.994,2,13,6,161.987,0,4.442,52287,,,,
ADAMS,2021,3641,2021,35,961.274,3,82.395,2,13,3,82.395,0,3.183,57981,,,,
ADAMS,2022,3602,2022,32,888.395,1,27.762,0,19,4,111.049,0,2.417,64750,,,,
ADAMS,2023,3553,2023,49,1379.116,4,112.581,0,11,0,0.000,0,2.708,68828,,,,
ADAMS,2024,3606,2024,36,998.336,3,83.195,0,18,0,0.000,0,2.492,,,,,
ADAMS,2025,3606,2024,15,415.973,1,27.732,2,5,0,0.000,0,2.691,,290940,14272,20250,8068208.541
ADAMS,2026,3606,2024,0,0.000,0,0.000,0,0,0,0.000,0,,,41741,2584,3229,1157529.673
ALLAMAKEE,2000,14675,2000,0,0.000,0,0.000,0,0,0,0.000,0,3.433,,,,,
ALLAMAKEE,2001,14343,2001,0,0.000,0,0.000,0,0,0,0.000,0,4.008,,,,,
ALLAMAKEE,2002,14309,2002,0,0.000,0,0.000,0,0,0,0.000,0,4.583,,,,,
ALLAMAKEE,2003,14371,2003,0,0.000,0,0.000,0,0,0,0.000,0,5.508,,,,,
ALLAMAKEE,2004,14371,2004,0,0.000,0,0.000,0,0,0,0.000,0,5.908,,,,,
ALLAMAKEE,2005,14419,2005,0,0.000,0,0.000,0,0,0,0.000,0,5.283,,,,,
ALLAMAKEE,2006,14442,2006,0,0.000,0,0.000,0,0,0,0.000,0,4.575,,,,,
ALLAMAKEE,2007,14421,2007,0,0.000,0,0.000,0,0,0,0.000,0,4.800,,,,,
ALLAMAKEE,2008,14416,2008,0,0.000,0,0.000,0,0,0,0.000,0,6.342,,,,,
ALLAMAKEE,2009,14407,2009,0,0.000,0,0.000,0,0,0,0.000,0,10.317,,,,,
ALLAMAKEE,2010,14330,2010,0,0.000,0,0.000,0,0,0,0.000,0,7.942,,,,,
ALLAMAKEE,2011,14222,2011,0,0.000,0,0.000,0,0,0,0.000,0,7.233,,,,,
ALLAMAKEE,2012,14149,2012,0,0.000,0,0.000,0,0,0,0.000,0,6.417,47539,,,,
ALLAMAKEE,2013,14071,2013,0,0.000,0,0.000,0,0,0,0.000,0,6.325,48831,,,,
ALLAMAKEE,2014,14062,2014,140,995.591,3,21.334,3,33,0,0.000,0,5.667,47886,,,,
