county,year,total_crashes,impaired_crashes,fatalities,injuries
ADAIR,2014,143,10,5,60
ADAIR,2015,183,11,0,57
ADAIR,2016,188,17,5,51
ADAIR,2017,195,9,2,53
ADAIR,2018,221,5,4,79
ADAIR,2019,230,17,6,79
ADAIR,2020,230,13,6,90
ADAIR,2021,219,4,2,64
ADAIR,2022,217,8,5,61
ADAIR,2023,184,6,0,72
ADAIR,2024,169,5,0,51
ADAIR,2025,65,8,0,17
ADAMS,2014,48,4,2,16
ADAMS,2015,55,2,1,21
ADAMS,2016,38,4,0,14
ADAMS,2017,41,5,0,20
ADAMS,2018,27,3,0,5
ADAMS,2019,27,2,1,12
ADAMS,2020,32,3,2,13
ADAMS,2021,35,3,2,13
ADAMS,2022,32,1,0,19
ADAMS,2023,49,4,0,11
ADAMS,2024,36,3,0,18
ADAMS,2025,15,1,2,5
ALLAMAKEE,2014,140,3,3,33
ALLAMAKEE,2015,187,12,3,67
ALLAMAKEE,2016,186,16,3,75
ALLAMAKEE,2017,201,7,2,56
ALLAMAKEE,2018,161,4,1,54
ALLAMAKEE,2019,182,6,2,64
ALLAMAKEE,2020,202,7,2,67
ALLAMAKEE,2021,170,9,3,58
ALLAMAKEE,2022,165,11,3,58
ALLAMAKEE,2023,212,13,3,67
ALLAMAKEE,2024,200,9,2,59
ALLAMAKEE,2025,81,5,2,21
APPANOOSE,2014,176,5,2,59
APPANOOSE,2015,230,13,2,111
APPANOOSE,2016,216,9,5,79
APPANOOSE,2017,244,5,2,90
APPANOOSE,2018,213,12,2,64
APPANOOSE,2019,227,7,1,48
APPANOOSE,2020,208,11,2,76
APPANOOSE,2021,211,9,1,60
APPANOOSE,2022,186,12,1,50
APPANOOSE,2023,176,10,1,50
APPANOOSE,2024,208,7,0,63
APPANOOSE,2025,76,3,2,29
AUDUBON,2014,57,5,1,32
AUDUBON,2015,68,2,1,38
AUDUBON,2016,61,3,1,20
AUDUBON,2017,56,4,4,21
AUDUBON,2018,77,3,0,21
AUDUBON,2019,65,2,1,17
AUDUBON,2020,75,4,0,25
AUDUBON,2021,59,2,2,31
AUDUBON,2022,55,5,2,31
AUDUBON,2023,67,2,1,31
AUDUBON,2024,67,3,1,26
AUDUBON,2025,18,1,0,11
BENTON,2014,280,12,7,143
BENTON,2015,284,16,11,120
BENTON,2016,267,18,9,132
BENTON,2017,274,12,5,105
BENTON,2018,309,22,7,126
BENTON,2019,328,17,4,121
BENTON,2020,261,13,3,124
BENTON,2021,324,21,9,152
BENTON,2022,325,18,5,111
BENTON,2023,290,14,2,96
BENTON,2024,275,14,4,82
BENTON,2025,138,15,0,65
BLACK HAWK,2014,2427,115,6,830
BLACK HAWK,2015,2354,108,10,908
BLACK HAWK,2016,2283,101,11,876
BLACK HAWK,2017,2159,128,8,842
BLACK HAWK,2018,2225,100,10,812
BLACK HAWK,2019,2322,121,11,865
BLACK HAWK,2020,1723,103,9,616
BLACK HAWK,2021,2151,115,9,863
BLACK HAWK,2022,1977,97,7,735
BLACK HAWK,2023,1958,110,13,773
BLACK HAWK,2024,2014,135,15,715
BLACK HAWK,2025,924,46,4,324
BOONE,2014,393,15,6,125
BOONE,2015,436,21,4,167
BOONE,2016,405,22,2,153
BOONE,2017,395,25,1,163
BOONE,2018,377,13,3,126
BOONE,2019,396,18,2,142
BOONE,2020,344,16,5,101
BOONE,2021,354,14,2,118
BOONE,2022,356,16,2,111
BOONE,2023,319,14,7,131
BOONE,2024,336,14,3,113
BOONE,2025,141,3,0,64
BREMER,2014,440,16,3,116
BREMER,2015,423,6,1,113
BREMER,2016,382,12,1,98
BREMER,2017,345,15,0,89
BREMER,2018,357,8,3,88
BREMER,2019,409,17,4,84
BREMER,2020,290,11,2,84
BREMER,2021,351,13,6,78
BREMER,2022,370,23,3,74
BREMER,2023,388,19,1,79
BREMER,2024,368,10,0,78
BREMER,2025,181,5,0,41
BUCHANAN,2014,286,14,1,100
BUCHANAN,2015,343,10,4,123
BUCHANAN,2016,274,10,2,74
BUCHANAN,2017,320,16,3,78
BUCHANAN,2018,316,11,1,99
BUCHANAN,2019,343,13,3,100
BUCHANAN,2020,281,18,2,69
BUCHANAN,2021,275,13,4,89
BUCHANAN,2022,263,12,1,68
BUCHANAN,2023,282,17,2,111
BUCHANAN,2024,305,9,1,79
BUCHANAN,2025,119,5,0,25
BUENA VISTA,2014,255,16,6,121
BUENA VISTA,2015,370,11,3,127
BUENA VISTA,2016,292,17,2,118
BUENA VISTA,2017,282,16,1,91
BUENA VISTA,2018,271,16,1,89
BUENA VISTA,2019,294,23,3,100
BUENA VISTA,2020,223,23,0,75
BUENA VISTA,2021,293,26,3,102
BUENA VISTA,2022,316,22,1,108
BUENA VISTA,2023,297,22,3,104
BUENA VISTA,2024,334,21,3,112
BUENA VISTA,2025,128,7,3,47
BUTLER,2014,69,1,1,26
BUTLER,2015,69,8,1,27
BUTLER,2016,81,5,4,48
BUTLER,2017,91,7,2,40
BUTLER,2018,78,2,0,34
BUTLER,2019,78,5,0,35
BUTLER,2020,77,2,0,34
BUTLER,2021,84,6,5,35
BUTLER,2022,90,4,2,29
BUTLER,2023,101,4,2,29
BUTLER,2024,95,6,2,38
BUTLER,2025,32,3,0,11
CALHOUN,2014,117,5,3,58
CALHOUN,2015,100,8,1,34
CALHOUN,2016,111,9,1,37
CALHOUN,2017,106,5,4,42
CALHOUN,2018,120,4,3,42
CALHOUN,2019,109,5,2,42
CALHOUN,2020,105,5,1,20
CALHOUN,2021,140,6,0,43
CALHOUN,2022,98,3,1,24
CALHOUN,2023,108,0,0,32
CALHOUN,2024,115,4,1,32
CALHOUN,2025,40,3,0,12
CARROLL,2014,244,15,5,98
CARROLL,2015,269,10,0,101
CARROLL,2016,265,13,4,116
CARROLL,2017,265,14,3,98
CARROLL,2018,232,7,1,78
CARROLL,2019,239,15,1,104
CARROLL,2020,209,12,3,80
CARROLL,2021,228,10,0,81
CARROLL,2022,221,14,4,90
CARROLL,2023,204,8,3,65
CARROLL,2024,227,9,4,80
CARROLL,2025,102,6,2,38
CASS,2014,254,17,6,101
CASS,2015,247,10,5,94
CASS,2016,232,15,14,107
CASS,2017,228,17,1,73
CASS,2018,245,13,5,100
CASS,2019,218,19,2,75
CASS,2020,234,16,1,86
CASS,2021,282,12,4,98
CASS,2022,287,29,2,99
CASS,2023,288,22,5,103
CASS,2024,197,17,1,58
CASS,2025,105,2,2,34
CEDAR,2014,403,22,1,115
CEDAR,2015,433,23,5,104
CEDAR,2016,404,22,2,112
CEDAR,2017,385,21,2,112
CEDAR,2018,399,13,4,104
CEDAR,2019,394,23,1,90
CEDAR,2020,340,15,5,68
CEDAR,2021,376,13,4,91
CEDAR,2022,372,14,3,116
CEDAR,2023,379,17,5,101
CEDAR,2024,415,18,4,97
CEDAR,2025,148,11,2,38
CERRO GORDO,2014,954,40,6,278
CERRO GORDO,2015,978,35,7,274
CERRO GORDO,2016,1069,47,6,313
CERRO GORDO,2017,999,48,12,368
CERRO GORDO,2018,1033,48,5,315
CERRO GORDO,2019,1056,45,7,311
CERRO GORDO,2020,854,35,2,255
CERRO GORDO,2021,1005,50,8,340
CERRO GORDO,2022,995,49,4,300
CERRO GORDO,2023,1004,51,1,310
CERRO GORDO,2024,1004,51,7,273
CERRO GORDO,2025,398,19,0,106
CHEROKEE,2014,175,16,2,53
CHEROKEE,2015,171,11,2,79
CHEROKEE,2016,195,11,1,72
CHEROKEE,2017,156,8,1,46
CHEROKEE,2018,177,14,2,56
CHEROKEE,2019,198,7,1,52
CHEROKEE,2020,171,8,4,72
CHEROKEE,2021,207,6,1,51
CHEROKEE,2022,163,5,2,68
CHEROKEE,2023,185,5,1,63
CHEROKEE,2024,175,11,0,51
CHEROKEE,2025,57,1,0,22
CHICKASAW,2014,125,9,2,57
CHICKASAW,2015,146,2,1,35
CHICKASAW,2016,192,11,5,52
CHICKASAW,2017,175,10,0,44
CHICKASAW,2018,160,7,2,42
CHICKASAW,2019,207,3,0,56
CHICKASAW,2020,134,4,1,45
CHICKASAW,2021,156,10,2,47
CHICKASAW,2022,143,6,4,47
CHICKASAW,2023,154,6,2,54
CHICKASAW,2024,173,7,1,50
CHICKASAW,2025,69,3,0,9
CLARKE,2014,212,6,0,70
CLARKE,2015,214,13,0,79
CLARKE,2016,202,13,6,84
CLARKE,2017,210,7,3,49
CLARKE,2018,206,8,4,63
CLARKE,2019,208,8,2,60
CLARKE,2020,146,7,0,45
CLARKE,2021,206,6,4,47
CLARKE,2022,175,11,2,49
CLARKE,2023,188,12,3,67
CLARKE,2024,206,7,1,63
CLARKE,2025,87,4,0,27
CLAY,2014,301,8,5,101
CLAY,2015,304,10,1,96
CLAY,2016,247,8,1,79
CLAY,2017,342,17,1,125
CLAY,2018,343,13,0,110
CLAY,2019,339,12,4,115
CLAY,2020,281,10,4,102
CLAY,2021,296,12,2,81
CLAY,2022,314,14,1,104
CLAY,2023,294,15,1,84
CLAY,2024,308,11,2,94
CLAY,2025,89,7,2,35
CLAYTON,2014,265,15,2,74
CLAYTON,2015,317,17,3,99
CLAYTON,2016,312,18,4,96
CLAYTON,2017,306,17,1,81
CLAYTON,2018,327,18,5,70
CLAYTON,2019,296,10,2,83
CLAYTON,2020,309,21,4,80
CLAYTON,2021,315,20,6,60
CLAYTON,2022,295,19,2,76
CLAYTON,2023,286,13,3,64
CLAYTON,2024,311,20,2,66
CLAYTON,2025,134,6,0,19
CLINTON,2014,1019,67,4,369
CLINTON,2015,945,44,3,413
CLINTON,2016,963,41,2,367
CLINTON,2017,949,45,2,369
CLINTON,2018,832,39,6,317
CLINTON,2019,762,30,8,273
CLINTON,2020,598,50,4,244
CLINTON,2021,668,46,5,280
CLINTON,2022,636,45,9,258
CLINTON,2023,633,44,5,236
CLINTON,2024,613,52,7,199
CLINTON,2025,329,24,0,138
CRAWFORD,2014,241,9,2,86
CRAWFORD,2015,233,6,4,100
