county,year,median_household_income
ADAIR,2012,47872
ADAIR,2013,47892
ADAIR,2014,47264
ADAIR,2015,46526
ADAIR,2016,48765
ADAIR,2017,49477
ADAIR,2018,51859
ADAIR,2019,53363
ADAIR,2020,55700
ADAIR,2021,57944
ADAIR,2022,63172
ADAIR,2023,66176
ADAMS,2012,45099
ADAMS,2013,45871
ADAMS,2014,47335
ADAMS,2015,48043
ADAMS,2016,48598
ADAMS,2017,49745
ADAMS,2018,49229
ADAMS,2019,49255
ADAMS,2020,52287
ADAMS,2021,57981
ADAMS,2022,64750
ADAMS,2023,68828
ALLAMAKEE,2012,47539
ALLAMAKEE,2013,48831
ALLAMAKEE,2014,47886
ALLAMAKEE,2015,45890
ALLAMAKEE,2016,48089
ALLAMAKEE,2017,47895
ALLAMAKEE,2018,51057
ALLAMAKEE,2019,52216
ALLAMAKEE,2020,55523
ALLAMAKEE,2021,59461
ALLAMAKEE,2022,64049
ALLAMAKEE,2023,66000
APPANOOSE,2012,37866
APPANOOSE,2013,39208
APPANOOSE,2014,41525
APPANOOSE,2015,41394
APPANOOSE,2016,40817
APPANOOSE,2017,40377
APPANOOSE,2018,41111
APPANOOSE,2019,40167
APPANOOSE,2020,39693
APPANOOSE,2021,46900
APPANOOSE,2022,50684
APPANOOSE,2023,51146
AUDUBON,2012,47630
AUDUBON,2013,48313
AUDUBON,2014,47556
AUDUBON,2015,46979
AUDUBON,2016,47048
AUDUBON,2017,48750
AUDUBON,2018,50397
AUDUBON,2019,52055
AUDUBON,2020,49245
AUDUBON,2021,54643
AUDUBON,2022,54973
AUDUBON,2023,54152
BENTON,2012,57488
BENTON,2013,56669
BENTON,2014,59186
BENTON,2015,60606
BENTON,2016,61222
BENTON,2017,64061
BENTON,2018,65475
BENTON,2019,67729
BENTON,2020,66046
BENTON,2021,72334
BENTON,2022,79444
BENTON,2023,84742
BLACK HAWK,2012,45610
BLACK HAWK,2013,45747
BLACK HAWK,2014,47002
BLACK HAWK,2015,48369
BLACK HAWK,2016,50348
BLACK HAWK,2017,50916
BLACK HAWK,2018,52688
BLACK HAWK,2019,53539
BLACK HAWK,2020,54774
BLACK HAWK,2021,57191
BLACK HAWK,2022,62329
BLACK HAWK,2023,64581
BOONE,2012,51284
BOONE,2013,51826
BOONE,2014,52714
BOONE,2015,52985
BOONE,2016,54513
BOONE,2017,57906
BOONE,2018,61111
BOONE,2019,64000
BOONE,2020,67442
BOONE,2021,70984
BOONE,2022,75759
BOONE,2023,79741
BREMER,2012,60193
BREMER,2013,61216
BREMER,2014,61619
BREMER,2015,62163
BREMER,2016,64264
BREMER,2017,65440
BREMER,2018,68023
BREMER,2019,70395
BREMER,2020,72209
BREMER,2021,76782
BREMER,2022,84727
BREMER,2023,83343
BUCHANAN,2012,54596
BUCHANAN,2013,55553
BUCHANAN,2014,56393
BUCHANAN,2015,56150
BUCHANAN,2016,55881
BUCHANAN,2017,59348
BUCHANAN,2018,61409
BUCHANAN,2019,64837
BUCHANAN,2020,67252
BUCHANAN,2021,71024
BUCHANAN,2022,73493
BUCHANAN,2023,78430
BUENA VISTA,2012,46947
BUENA VISTA,2013,46951
BUENA VISTA,2014,48010
BUENA VISTA,2015,48195
BUENA VISTA,2016,49942
BUENA VISTA,2017,52784
BUENA VISTA,2018,54556
BUENA VISTA,2019,57125
BUENA VISTA,2020,54014
BUENA VISTA,2021,53645
BUENA VISTA,2022,62662
BUENA VISTA,2023,66564
BUTLER,2012,51348
BUTLER,2013,52026
BUTLER,2014,51701
BUTLER,2015,52360
BUTLER,2016,52204
BUTLER,2017,53937
BUTLER,2018,55999
BUTLER,2019,57115
BUTLER,2020,56473
BUTLER,2021,61109
BUTLER,2022,65743
BUTLER,2023,69651
CALHOUN,2012,45097
CALHOUN,2013,44484
CALHOUN,2014,44934
CALHOUN,2015,44921
CALHOUN,2016,44635
CALHOUN,2017,46302
CALHOUN,2018,50800
CALHOUN,2019,52323
CALHOUN,2020,55285
CALHOUN,2021,60434
CALHOUN,2022,65614
CALHOUN,2023,66875
CARROLL,2012,48824
CARROLL,2013,48361
CARROLL,2014,48998
CARROLL,2015,50559
CARROLL,2016,53785
CARROLL,2017,54563
CARROLL,2018,57674
CARROLL,2019,59212
CARROLL,2020,59198
CARROLL,2021,61157
CARROLL,2022,68041
CARROLL,2023,68528
CASS,2012,43114
CASS,2013,43481
CASS,2014,43960
CASS,2015,43750
CASS,2016,45469
CASS,2017,45637
CASS,2018,48178
CASS,2019,50187
CASS,2020,52005
CASS,2021,55395
CASS,2022,60815
CASS,2023,61657
CEDAR,2012,58433
CEDAR,2013,58088
CEDAR,2014,59672
CEDAR,2015,59047
CEDAR,2016,60435
CEDAR,2017,62555
CEDAR,2018,65791
CEDAR,2019,67795
CEDAR,2020,69259
CEDAR,2021,72714
CEDAR,2022,76959
CEDAR,2023,79080
CERRO GORDO,2012,44762
CERRO GORDO,2013,44795
CERRO GORDO,2014,45012
CERRO GORDO,2015,46122
CERRO GORDO,2016,47788
CERRO GORDO,2017,50569
CERRO GORDO,2018,52902
CERRO GORDO,2019,53963
CERRO GORDO,2020,56082
CERRO GORDO,2021,58271
CERRO GORDO,2022,63149
CERRO GORDO,2023,65537
CHEROKEE,2012,47816
CHEROKEE,2013,48977
CHEROKEE,2014,50828
CHEROKEE,2015,48599
CHEROKEE,2016,51590
CHEROKEE,2017,53998
CHEROKEE,2018,54658
CHEROKEE,2019,56550
CHEROKEE,2020,56302
CHEROKEE,2021,59881
CHEROKEE,2022,63638
CHEROKEE,2023,64478
CHICKASAW,2012,43741
CHICKASAW,2013,43971
CHICKASAW,2014,46020
CHICKASAW,2015,47040
CHICKASAW,2016,48013
CHICKASAW,2017,50688
CHICKASAW,2018,55385
CHICKASAW,2019,60034
CHICKASAW,2020,61239
CHICKASAW,2021,67146
CHICKASAW,2022,72734
CHICKASAW,2023,73421
CLARKE,2012,44211
CLARKE,2013,43216
CLARKE,2014,42430
CLARKE,2015,43327
CLARKE,2016,46510
CLARKE,2017,49718
CLARKE,2018,51571
CLARKE,2019,54427
CLARKE,2020,55078
CLARKE,2021,58617
CLARKE,2022,63120
CLARKE,2023,66821
CLAY,2012,46880
CLAY,2013,49035
CLAY,2014,49438
CLAY,2015,50389
CLAY,2016,48888
CLAY,2017,48978
CLAY,2018,47874
CLAY,2019,50521
CLAY,2020,51259
CLAY,2021,52307
CLAY,2022,61756
CLAY,2023,64082
CLAYTON,2012,46617
CLAYTON,2013,47494
CLAYTON,2014,47725
CLAYTON,2015,48007
CLAYTON,2016,48482
CLAYTON,2017,51114
CLAYTON,2018,52828
CLAYTON,2019,53152
CLAYTON,2020,56456
CLAYTON,2021,58148
CLAYTON,2022,60441
CLAYTON,2023,62326
CLINTON,2012,49010
CLINTON,2013,49559
CLINTON,2014,49849
CLINTON,2015,50498
CLINTON,2016,50067
CLINTON,2017,50295
CLINTON,2018,50156
CLINTON,2019,51688
CLINTON,2020,52221
CLINTON,2021,56345
CLINTON,2022,61080
CLINTON,2023,65177
CRAWFORD,2012,46601
CRAWFORD,2013,46548
CRAWFORD,2014,47437
CRAWFORD,2015,48084
CRAWFORD,2016,49699
CRAWFORD,2017,51091
CRAWFORD,2018,53609
CRAWFORD,2019,55755
CRAWFORD,2020,54849
CRAWFORD,2021,55552
CRAWFORD,2022,61188
CRAWFORD,2023,65039
DALLAS,2012,71878
DALLAS,2013,73847
DALLAS,2014,74876
DALLAS,2015,76320
DALLAS,2016,78918
DALLAS,2017,82719
DALLAS,2018,84790
DALLAS,2019,88479
DALLAS,2020,88368
DALLAS,2021,93492
DALLAS,2022,99533
DALLAS,2023,102349
DAVIS,2012,46807
DAVIS,2013,45040
DAVIS,2014,46048
DAVIS,2015,48888
DAVIS,2016,49696
DAVIS,2017,52390
DAVIS,2018,58464
DAVIS,2019,63404
DAVIS,2020,67627
DAVIS,2021,76755
DAVIS,2022,77176
DAVIS,2023,79505
DECATUR,2012,34942
DECATUR,2013,36326
DECATUR,2014,38275
DECATUR,2015,38560
DECATUR,2016,38467
DECATUR,2017,41042
DECATUR,2018,42614
DECATUR,2019,44462
DECATUR,2020,48154
DECATUR,2021,52753
DECATUR,2022,56068
DECATUR,2023,57146
DELAWARE,2012,51663
DELAWARE,2013,54076
DELAWARE,2014,54801
DELAWARE,2015,58274
DELAWARE,2016,59452
DELAWARE,2017,60534
DELAWARE,2018,61179
