county,year,liquor_sale_dollars,liquor_volume_liters,liquor_bottles_sold
ADAIR,2025,518868,24962,44206
ADAIR,2026,78149,4046,6712
ADAMS,2025,290940,14272,20250
ADAMS,2026,41741,2584,3229
ALLAMAKEE,2025,1136840,69361,70714
ALLAMAKEE,2026,167309,10759,10622
APPANOOSE,2025,1124546,61835,71802
APPANOOSE,2026,163947,8971,10952
AUDUBON,2025,236233,14085,18183
AUDUBON,2026,28458,1791,2086
BENTON,2025,1647842,94125,129379
BENTON,2026,244460,13354,19788
BLACK HAWK,2025,19990830,1042139,1574102
BLACK HAWK,2026,2839417,152689,227221
BOONE,2025,2467078,133821,184124
BOONE,2026,367997,19473,28511
BREMER,2025,2413186,145330,162143
BREMER,2026,318979,19186,22504
BUCHANAN,2025,1645140,94580,121447
BUCHANAN,2026,206551,11495,15813
BUENA VISTA,2025,2179323,120702,139852
BUENA VISTA,2026,264689,15392,18879
BUTLER,2025,498440,30410,44755
BUTLER,2026,75288,4504,7123
CALHOUN,2025,541372,29441,43187
CALHOUN,2026,64213,3603,5524
CARROLL,2025,3257032,184342,195439
CARROLL,2026,431055,24162,26567
CASS,2025,1584456,90450,117174
CASS,2026,256178,14919,19741
CEDAR,2025,1052508,58758,84866
CEDAR,2026,132259,6972,12064
CERRO GORDO,2025,8474889,488201,616184
CERRO GORDO,2026,1272421,73681,96583
CHEROKEE,2025,1041035,59137,80783
CHEROKEE,2026,145404,8149,11419
CHICKASAW,2025,665280,40514,46009
CHICKASAW,2026,97999,6024,6716
CLARKE,2025,1189747,61198,78348
CLARKE,2026,162721,7719,10545
CLAY,2025,2143195,122681,143034
CLAY,2026,288357,17286,18818
CLAYTON,2025,867707,49546,61553
CLAYTON,2026,111151,6808,8687
CLINTON,2025,10720960,550904,710076
CLINTON,2026,1561267,79808,103143
CRAWFORD,2025,1802545,100795,112233
CRAWFORD,2026,201560,11503,13929
DALLAS,2025,14217377,655590,756137
DALLAS,2026,1464135,71452,91103
DAVIS,2025,142056,8292,11856
DAVIS,2026,20834,1256,1714
DECATUR,2025,283134,13245,20843
DECATUR,2026,42626,1953,3227
DELAWARE,2025,1444749,84540,90525
DELAWARE,2026,177594,10614,12672
DES MOINES,2025,4567593,235448,398631
DES MOINES,2026,643260,33708,57125
DICKINSON,2025,5922715,325195,348862
DICKINSON,2026,592440,34013,37487
DUBUQUE,2025,12309018,695142,905914
DUBUQUE,2026,1718710,100476,127211
EMMET,2025,815649,50564,60040
EMMET,2026,129050,8577,9215
FAYETTE,2025,1663246,99160,133596
FAYETTE,2026,222461,13584,18843
FLOYD,2025,1380169,79992,107515
FLOYD,2026,199956,11871,16020
FRANKLIN,2025,553050,33700,40835
FRANKLIN,2026,71353,3716,4928
FREMONT,2025,254869,10957,19957
FREMONT,2026,40160,1687,3313
GREENE,2025,802286,42766,56846
GREENE,2026,106227,6255,7444
GRUNDY,2025,459665,27683,38332
GRUNDY,2026,58216,3574,5074
GUTHRIE,2025,790189,40205,52836
GUTHRIE,2026,114289,5707,8386
HAMILTON,2025,1208687,66523,93490
HAMILTON,2026,198969,10533,15666
HANCOCK,2025,651893,40508,54726
HANCOCK,2026,91422,5763,7645
HARDIN,2025,2279208,135083,158395
HARDIN,2026,326869,19445,22929
HARRISON,2025,836784,42422,65682
HARRISON,2026,113759,5620,9759
HENRY,2025,2032236,107448,153499
HENRY,2026,233783,12728,18477
HOWARD,2025,986174,61767,64943
HOWARD,2026,145329,9629,9643
HUMBOLDT,2025,1172435,68021,76436
HUMBOLDT,2026,147096,9026,10763
IDA,2025,748943,41763,45572
IDA,2026,101818,6085,6540
IOWA,2025,1522480,85856,137877
IOWA,2026,204346,11268,18746
JACKSON,2025,1634023,99079,108361
JACKSON,2026,173610,11251,12345
JASPER,2025,2741144,149355,239160
JASPER,2026,340894,18809,32397
JEFFERSON,2025,1515377,80705,103641
JEFFERSON,2026,217242,11888,14137
JOHNSON,2025,24098913,1244084,1570145
JOHNSON,2026,3226303,165726,217490
JONES,2025,1773947,110146,123531
JONES,2026,292962,17324,20545
KEOKUK,2025,300095,18803,24348
KEOKUK,2026,41014,2602,3333
KOSSUTH,2025,1897510,115577,125505
KOSSUTH,2026,292654,17635,17901
LEE,2025,4492804,236864,308637
LEE,2026,481731,26399,34942
LINN,2025,36401862,1920709,2695401
LINN,2026,5077280,271796,386600
LOUISA,2025,320747,15834,32807
LOUISA,2026,41165,2194,4506
LUCAS,2025,862051,44645,68572
LUCAS,2026,133602,6790,10506
LYON,2025,1029697,58627,74472
LYON,2026,132427,7268,9689
MADISON,2025,1066362,58273,81979
MADISON,2026,111115,5808,9283
MAHASKA,2025,1956978,101353,142568
MAHASKA,2026,248895,12654,19015
MARION,2025,3309529,175190,242449
MARION,2026,403338,22363,31904
MARSHALL,2025,5641324,310478,406453
MARSHALL,2026,930538,52036,66442
MILLS,2025,710378,35211,59655
MILLS,2026,83446,3863,7584
MITCHELL,2025,494970,32252,36952
MITCHELL,2026,59482,3672,4859
MONONA,2025,731933,37983,64872
MONONA,2026,96692,4879,9124
MONROE,2025,536544,29231,37053
MONROE,2026,87197,5132,6536
MONTGOMERY,2025,954379,53719,83048
MONTGOMERY,2026,144533,8234,12465
MUSCATINE,2025,4159705,228216,363306
MUSCATINE,2026,553580,31336,50926
O'BRIEN,2025,1585795,95407,107821
O'BRIEN,2026,246151,14348,17070
OSCEOLA,2025,292946,18268,20252
OSCEOLA,2026,40753,2447,3094
PAGE,2025,1579730,89119,104900
PAGE,2026,229900,13085,15685
PALO ALTO,2025,976214,58797,66182
PALO ALTO,2026,146942,8488,9641
PLYMOUTH,2025,2135186,118256,139739
PLYMOUTH,2026,294697,15698,20123
POCAHONTAS,2025,376262,21499,31294
POCAHONTAS,2026,59088,3451,5028
POLK,2025,97468506,4709364,6808761
POLK,2026,13906913,676831,1004728
POTTAWATTAMIE,2025,16073653,779802,1252000
POTTAWATTAMIE,2026,2419103,115196,190619
POWESHIEK,2025,2057553,112227,139489
POWESHIEK,2026,277974,15687,19615
RINGGOLD,2025,257660,15094,16992
RINGGOLD,2026,40734,2731,2816
SAC,2025,965455,57382,64850
SAC,2026,125283,7586,9132
SCOTT,2025,27111274,1411901,2114705
SCOTT,2026,3614230,193470,291973
SHELBY,2025,1144794,64459,77457
SHELBY,2026,127025,6907,9565
SIOUX,2025,2633865,151336,158112
SIOUX,2026,341592,19316,20454
STORY,2025,11728501,630504,768538
STORY,2026,1594713,87770,107136
TAMA,2025,988023,53719,78579
TAMA,2026,153496,8973,11417
TAYLOR,2025,159697,8934,13315
TAYLOR,2026,22084,1254,2030
UNION,2025,1315549,73063,96567
UNION,2026,201976,11091,15899
VAN BUREN,2025,250957,14841,23292
VAN BUREN,2026,34750,2162,3336
WAPELLO,2025,3913320,207636,309825
WAPELLO,2026,603336,32223,48220
WARREN,2025,4462389,223853,333617
WARREN,2026,596920,28168,47028
WASHINGTON,2025,2427901,128993,184679
WASHINGTON,2026,493145,24862,33358
WAYNE,2025,286155,13928,23359
WAYNE,2026,46961,2411,4089
WEBSTER,2025,4276226,227435,338553
WEBSTER,2026,643738,34364,51847
WINNEBAGO,2025,911114,55896,69203
WINNEBAGO,2026,131959,7752,10194
WINNESHIEK,2025,2130774,110997,125302
WINNESHIEK,2026,286545,17059,18189
WOODBURY,2025,14566106,749446,1076369
WOODBURY,2026,2008589,103757,150051
WORTH,2025,578180,31629,44906
WORTH,2026,79082,4482,5917
WRIGHT,2025,905169,50995,72501
WRIGHT,2026,125203,7112,10986
