year,store_number,store_name,address,city,county,lat,lng,transactions,liquor_sale_dollars,liquor_volume_liters,liquor_bottles_sold
2025,2633,HY-VEE #3 / BDI / DES MOINES,3221 SE 14TH ST,DES MOINES,POLK,41.55472,-93.59524,18710,13669812,651802,712026
2025,4829,CENTRAL CITY 2,1501 MICHIGAN AVE,DES MOINES,POLK,41.60575,-93.61378,19413,13202431,617304,672075
2025,5916,ANOTHER ROUND / DEWITT,622 S 6TH AVE,DEWITT,CLINTON,41.80942,-90.53908,12115,6239561,300766,316496
2025,2512,HY-VEE WINE AND SPIRITS #1 (1281) / IOWA CITY,1720 WATERFRONT DR,IOWA CITY,JOHNSON,41.64296,-91.52938,9533,5660011,338772,369231
2025,3773,BENZ DISTRIBUTING,501 7TH AVE SE,CEDAR RAPIDS,LINN,41.9756,-91.65977,17007,5189030,254149,275796
2025,6242,WALL TO WALL WINE AND SPIRITS / WEST DES MOINES,375 SOUTH JORDAN CREEK PARKWAY,WEST DES MOINES,DALLAS,41.56318,-93.8106,9008,4607898,160138,177588
2025,4312,I-80 LIQUOR / COUNCIL BLUFFS,2411 S 24TH ST #1 PO STN RR,COUNCIL BLUFFS,POTTAWATTAMIE,41.23811,-95.87857,4935,4121917,191981,228862
2025,3814,COSTCO WHOLESALE #788 / WDM,7205 MILLS CIVIC PKWY,WEST DES MOINES,DALLAS,41.56178,-93.80575,1186,3473800,211486,143314
2025,2614,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,1823 E KIMBERLY RD,DAVENPORT,SCOTT,41.55535,-90.54887,13012,3346378,178301,190038
2025,5102,WILKIE LIQUORS,724 1ST STREET NE,MOUNT VERNON,LINN,41.92012,-91.41231,7349,3249194,193856,198866
2025,3385,SAM'S CLUB 8162 / CEDAR RAPIDS,2605 BLAIRS FERRY RD NE,CEDAR RAPIDS,LINN,42.0318188,-91.6796899,2844,2738742,171724,132025
2025,3420,SAM'S CLUB 6344 / WINDSOR HEIGHTS,1101  73RD ST,WINDSOR HEIGHTS,POLK,41.59905,-93.71423,2532,2633694,161211,127682
2025,4677,COSTCO WHOLESALE #1111 / CORALVILLE,2900 HEARTLAND DR,CORALVILLE,JOHNSON,41.69709,-91.61678,903,2525059,163315,108986
2025,5444,MARSHALL BEER WINE SPIRITS,11 N 3RD AVE,MARSHALLTOWN,MARSHALL,42.05011,-92.90803,8287,2503180,137743,158724
2025,2663,HY-VEE FOOD STORE / URBANDALE,8701 DOUGLAS,URBANDALE,POLK,41.63036,-93.73889,6496,2500226,112740,127497
2025,2647,HY-VEE #7 / CEDAR RAPIDS,5050 EDGEWOOD RD,CEDAR RAPIDS,LINN,42.03062,-91.7014,13971,2394241,113475,123022
2025,2501,HY-VEE  #2 (1018) / AMES,640 LINCOLNWAY,AMES,STORY,42.02028,-93.61869,7395,2363430,116685,122893
2025,2670,HY-VEE FOOD STORE / CORALVILLE,2004 8TH  ST,CORALVILLE,JOHNSON,41.68238,-91.592,8839,2167130,105663,117338
2025,3944,SAM'S CLUB 4973 / DUBUQUE,4400 ASBURY RD,DUBUQUE,DUBUQUE,42.51762,-90.73901,2355,2164414,134144,103895
2025,2665,HY-VEE / WAUKEE,1005 E HICKMAN RD,WAUKEE,DALLAS,41.61697,-93.85435,7228,2131718,101423,111470
2025,2515,HY-VEE FOOD STORE #1 (1410) / MASON CITY,2400 4TH ST SW,MASON CITY,CERRO GORDO,43.14926,-93.23538,9906,2117281,138620,122329
2025,010074,COSTCO WHOLESALE #1630 / ANKENY,4000 NE SPECTRUM DRIVE,ANKENY,POLK,41.76371,-93.56661,803,2113416,127978,88428
2025,3447,SAM'S CLUB 6432 / SIOUX CITY,4201 S. YORK ST.,SIOUX CITY,WOODBURY,42.43333,-96.37064,2175,2110211,138762,110701
2025,3354,SAM'S CLUB 8238 / DAVENPORT,3845 ELMORE AVE.,DAVENPORT,SCOTT,41.55719,-90.5267,2072,2086359,135260,105724
2025,5144,SAM'S CLUB 6979 / ANKENY,4625 SE DELAWARE AVE,ANKENY,POLK,41.69088,-93.5784,2083,2047805,131764,98977
2025,2502,HY-VEE WINE AND SPIRITS (1022) / ANKENY,410 NORTH ANKENY BLVD,ANKENY,POLK,41.73462,-93.60197,8019,1985960,102969,109398
2025,5666,COSTCO WHOLESALE #1325 / DAVENPORT,2790 E 53RD ST,DAVENPORT,SCOTT,41.57649,-90.53383,758,1911928,120689,81602
2025,3477,SAM'S CLUB 6472 / COUNCIL BLUFFS,3221 MANAWA CENTRE DR,COUNCIL BLUFFS,POTTAWATTAMIE,41.22618,-95.84707,1787,1901085,126048,92656
2025,2603,HY-VEE WINE AND SPIRITS / BETTENDORF,2890 DEVILS GLEN ROAD,BETTENDORF,SCOTT,41.55236,-90.48373,10743,1892421,94322,104599
2025,3494,SAM'S CLUB 6514 / WATERLOO,210 EAST TOWER PARK DR,WATERLOO,BLACK HAWK,42.4546,-92.35306,2086,1877457,120982,93955
2025,2190,"CENTRAL CITY LIQUOR, INC.",1460 2ND AVE,DES MOINES,POLK,41.60564,-93.62003,8606,1819160,67110,99980
2025,2590,HY-VEE FOOD STORE #5 / CEDAR RAPIDS,3235 OAKLAND ROAD NE,CEDAR RAPIDS,LINN,42.01149,-91.65919,10747,1818682,98381,112783
2025,2666,HY-VEE FOOD STORE #2 / STATE ANKENY,2510 SW STATE ST,ANKENY,POLK,41.70491,-93.62319,8240,1793884,84574,100258
2025,2201,HAPPY'S WINE & SPIRITS WHOLESALE,5925 UNIVERSITY AVE,CEDAR FALLS,BLACK HAWK,42.51229,-92.42917,3429,1666992,89305,94912
2025,6209,HY-VEE / GRIMES,351 NORTHEAST GATEWAY DRIVE,GRIMES,POLK,41.69032,-93.77731,8216,1651796,77055,82916
2025,2561,HY-VEE FOOD STORE (1148) / FLEUR / DSM,4605 FLEUR DRIVE,DES MOINES,POLK,41.5422,-93.64348,5229,1646756,82328,98794
2025,2648,HY-VEE #4 / WDM,555 S 51ST ST,WEST DES MOINES,POLK,41.56089,-93.77432,8348,1629263,80369,88442
2025,2675,HY-VEE #2 / CORALVILLE,3285 CROSSPARK RD,CORALVILLE,JOHNSON,41.72224,-91.6047,7491,1590148,69206,79281
2025,2629,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,1745 MADISON AVE,COUNCIL BLUFFS,POTTAWATTAMIE,41.24456,-95.82492,9103,1542337,71367,82023
2025,2524,HY-VEE FOOD STORE #1 (1159) / DUBUQUE,3500 DODGE ST,DUBUQUE,DUBUQUE,42.49105,-90.72265,6100,1537848,86971,91424
2025,2548,HY-VEE FOOD STORE (1011) / ALTOONA,100 8TH STREET SW,ALTOONA,POLK,41.64404,-93.46496,6783,1511328,83231,87555
2025,2130,SYCAMORE CONVENIENCE,617 SYCAMORE,WATERLOO,BLACK HAWK,42.49784,-92.33538,4128,1479356,77230,88311
2025,010065,MADELLA WINE AND SPIRITS / BETTENDORF,3263 MOENCKS COURT UNIT 3265,BETTENDORF,SCOTT,41.55596,-90.44919,4903,1415112,74334,77465
2025,2635,HY-VEE #4 / DAVENPORT,4064 E 53RD ST,DAVENPORT,SCOTT,41.57692,-90.5139,6952,1409831,64541,75946
2025,3524,SAM'S CLUB 6568 / AMES,305 AIRPORT RD,AMES,STORY,42.00105,-93.61423,1697,1398641,87940,69050
2025,2644,HY-VEE FORT DODGE WINE AND SPIRITS,1511 2ND AVE NORTH,FORT DODGE,WEBSTER,42.50829,-94.17734,4746,1385492,72727,77091
2025,6144,NORTHSIDE LIQUOR AND GROCERY / MASON CITY,1303 N FEDERAL,MASON CITY,CERRO GORDO,43.16367,-93.20109,4310,1360867,72371,91604
2025,2624,HY-VEE #2 / DUBUQUE,2395 NW ARTERIAL RD,DUBUQUE,DUBUQUE,42.51674,-90.74394,5910,1342451,83504,83600
2025,2621,HY-VEE FOOD STORE #3 / SIOUX CITY,3301 GORDON DR,SIOUX CITY,WOODBURY,42.48884,-96.36328,5163,1329632,69565,80032
2025,2549,HY-VEE FOOD STORE (1271) / INDIANOLA,910 N JEFFERSON,INDIANOLA,WARREN,41.36867,-93.55702,5252,1284444,67192,73369
2025,2538,HY-VEE FOOD STORE #3 (1866) / WATERLOO,1422 FLAMMANG DR,WATERLOO,BLACK HAWK,42.45998,-92.32785,9727,1258408,67306,73627
2025,2527,HY-VEE FOOD STORE #5 (1151) / DES MOINES,1107 SE ARMY POST RD,DES MOINES,POLK,41.52566,-93.7189,5879,1256965,68610,95291
2025,4988,HAPPY'S WINE & SPIRITS,5925 UNIVERSITY AVE,CEDAR FALLS,BLACK HAWK,42.51229,-92.42917,8164,1230830,52196,59000
2025,2593,HY-VEE FOOD STORE / CARROLL,905 US HIGHWAY 30 WEST,CARROLL,CARROLL,42.07095,-94.87692,5120,1209532,66722,67951
2025,2613,HY-VEE FOOD STORE #1 / COUNCIL BLUFFS,2323 W BROADWAY,COUNCIL BLUFFS,POTTAWATTAMIE,41.26138,-95.87951,6036,1207889,64937,74589
2025,2528,HY-VEE FOOD STORE #3 (1142) / DES MOINES,3221 SE 14TH ST,DES MOINES,POLK,41.55472,-93.59524,5481,1201548,65585,87785
2025,2616,HY-VEE FOOD AND DRUG / CLINTON,901 SOUTH 4TH ST,CLINTON,CLINTON,41.83667,-90.19198,7334,1182307,73095,84967
2025,2572,HY-VEE FOOD STORE / CEDAR FALLS,6301 UNIVERSITY,CEDAR FALLS,BLACK HAWK,42.51125,-92.43651,12867,1180417,66002,66265
2025,2560,HY-VEE FOOD STORE (1396) / MARION,3600 BUSINESS HWY 151 EAST,MARION,LINN,42.03599,-91.57201,6868,1172189,63950,66710
2025,2191,KEOKUK SPIRITS,1013 MAIN,KEOKUK,LEE,40.40001,-91.38774,5878,1149766,58082,59990
2025,2623,HY-VEE FOOD STORE #4 / SIOUX CITY,2827 HAMILTON BLVD,SIOUX CITY,WOODBURY,42.52055,-96.41897,5781,1142651,61079,74172
2025,2573,HY-VEE FOOD STORE / MUSCATINE,2400 2ND AVE,MUSCATINE,MUSCATINE,41.4508,-91.0365,7989,1132674,64729,62544
2025,010270,LIQUOR LOVERS  / ANKENY,1510 SOUTH ANKENY BOULEVARD PRAIRIE TRAIL SUITE 107-108,ANKENY,POLK,41.71524,-93.60049,5071,1103161,31850,44043
2025,2536,HY-VEE (1530) / PLEASANT HILL,4815 MAPLE DRIVE,PLEASANT HILL,POLK,41.5974,-93.51982,5183,1086556,57414,71187
2025,2506,HY-VEE #2 (1044) / BURLINGTON,3140 AGENCY,BURLINGTON,DES MOINES,40.81585,-91.13678,5891,1085631,60719,60255
