county,year,population
ADAIR,1990,8409
ADAIR,1991,8397
ADAIR,1992,8430
ADAIR,1993,8441
ADAIR,1994,8483
ADAIR,1995,8380
ADAIR,1996,8366
ADAIR,1997,8363
ADAIR,1998,8310
ADAIR,1999,8305
ADAIR,2000,8243
ADAIR,2001,8077
ADAIR,2002,7964
ADAIR,2003,7916
ADAIR,2004,7847
ADAIR,2005,7721
ADAIR,2006,7677
ADAIR,2007,7584
ADAIR,2008,7445
ADAIR,2009,7350
ADAIR,2010,7682
ADAIR,2011,7546
ADAIR,2012,7468
ADAIR,2013,7387
ADAIR,2014,7368
ADAIR,2015,7145
ADAIR,2016,7005
ADAIR,2017,7051
ADAIR,2018,7074
ADAIR,2019,7152
ADAIR,2020,7496
ADAIR,2021,7522
ADAIR,2022,7457
ADAIR,2023,7399
ADAIR,2024,7431
ADAMS,1990,4866
ADAMS,1991,4845
ADAMS,1992,4748
ADAMS,1993,4687
ADAMS,1994,4634
ADAMS,1995,4616
ADAMS,1996,4578
ADAMS,1997,4534
ADAMS,1998,4503
ADAMS,1999,4493
ADAMS,2000,4482
ADAMS,2001,4396
ADAMS,2002,4350
ADAMS,2003,4321
ADAMS,2004,4256
ADAMS,2005,4159
ADAMS,2006,4141
ADAMS,2007,4099
ADAMS,2008,4032
ADAMS,2009,3930
ADAMS,2010,4029
ADAMS,2011,3994
ADAMS,2012,3910
ADAMS,2013,3891
ADAMS,2014,3877
ADAMS,2015,3754
ADAMS,2016,3692
ADAMS,2017,3657
ADAMS,2018,3644
ADAMS,2019,3602
ADAMS,2020,3704
ADAMS,2021,3641
ADAMS,2022,3602
ADAMS,2023,3553
ADAMS,2024,3606
ALLAMAKEE,1990,13855
ALLAMAKEE,1991,13836
ALLAMAKEE,1992,13996
ALLAMAKEE,1993,14123
ALLAMAKEE,1994,14231
ALLAMAKEE,1995,14248
ALLAMAKEE,1996,14484
ALLAMAKEE,1997,14468
ALLAMAKEE,1998,14487
ALLAMAKEE,1999,14611
ALLAMAKEE,2000,14675
ALLAMAKEE,2001,14343
ALLAMAKEE,2002,14309
ALLAMAKEE,2003,14371
ALLAMAKEE,2004,14371
ALLAMAKEE,2005,14419
ALLAMAKEE,2006,14442
ALLAMAKEE,2007,14421
ALLAMAKEE,2008,14416
ALLAMAKEE,2009,14407
ALLAMAKEE,2010,14330
ALLAMAKEE,2011,14222
ALLAMAKEE,2012,14149
ALLAMAKEE,2013,14071
ALLAMAKEE,2014,14062
ALLAMAKEE,2015,13874
ALLAMAKEE,2016,13851
ALLAMAKEE,2017,13803
ALLAMAKEE,2018,13852
ALLAMAKEE,2019,13687
ALLAMAKEE,2020,14061
ALLAMAKEE,2021,13965
ALLAMAKEE,2022,14072
ALLAMAKEE,2023,14168
ALLAMAKEE,2024,14184
APPANOOSE,1990,13743
APPANOOSE,1991,13744
APPANOOSE,1992,13768
APPANOOSE,1993,13865
APPANOOSE,1994,13903
APPANOOSE,1995,13726
APPANOOSE,1996,13723
APPANOOSE,1997,13752
APPANOOSE,1998,13677
APPANOOSE,1999,13761
APPANOOSE,2000,13723
APPANOOSE,2001,13558
APPANOOSE,2002,13377
APPANOOSE,2003,13452
APPANOOSE,2004,13355
APPANOOSE,2005,13315
APPANOOSE,2006,13158
APPANOOSE,2007,12926
APPANOOSE,2008,12780
APPANOOSE,2009,12698
APPANOOSE,2010,12887
APPANOOSE,2011,12848
APPANOOSE,2012,12707
APPANOOSE,2013,12654
APPANOOSE,2014,12671
APPANOOSE,2015,12577
APPANOOSE,2016,12505
APPANOOSE,2017,12353
APPANOOSE,2018,12401
APPANOOSE,2019,12426
APPANOOSE,2020,12317
APPANOOSE,2021,12269
APPANOOSE,2022,12135
APPANOOSE,2023,12129
APPANOOSE,2024,12106
AUDUBON,1990,7334
AUDUBON,1991,7335
AUDUBON,1992,7251
AUDUBON,1993,7141
AUDUBON,1994,7038
AUDUBON,1995,6992
AUDUBON,1996,6954
AUDUBON,1997,6920
AUDUBON,1998,6916
AUDUBON,1999,6893
AUDUBON,2000,6830
AUDUBON,2001,6657
AUDUBON,2002,6549
AUDUBON,2003,6438
AUDUBON,2004,6378
AUDUBON,2005,6251
AUDUBON,2006,6179
AUDUBON,2007,6132
AUDUBON,2008,6105
AUDUBON,2009,6032
AUDUBON,2010,6119
AUDUBON,2011,6004
AUDUBON,2012,5865
AUDUBON,2013,5863
AUDUBON,2014,5771
AUDUBON,2015,5711
AUDUBON,2016,5626
AUDUBON,2017,5550
AUDUBON,2018,5471
AUDUBON,2019,5496
AUDUBON,2020,5674
AUDUBON,2021,5645
AUDUBON,2022,5573
AUDUBON,2023,5533
AUDUBON,2024,5562
BENTON,1990,22429
BENTON,1991,22425
BENTON,1992,22526
BENTON,1993,22712
BENTON,1994,23223
BENTON,1995,23552
BENTON,1996,23962
BENTON,1997,24249
BENTON,1998,24453
BENTON,1999,24823
BENTON,2000,25307
BENTON,2001,25619
BENTON,2002,25991
BENTON,2003,26176
BENTON,2004,26493
BENTON,2005,26643
BENTON,2006,26571
BENTON,2007,26551
BENTON,2008,26642
BENTON,2009,26734
BENTON,2010,26076
BENTON,2011,26078
BENTON,2012,25830
BENTON,2013,25699
BENTON,2014,25623
BENTON,2015,25608
BENTON,2016,25644
BENTON,2017,25656
BENTON,2018,25625
BENTON,2019,25645
BENTON,2020,25575
BENTON,2021,25745
BENTON,2022,25756
BENTON,2023,25769
BENTON,2024,25799
BLACK HAWK,1990,123798
BLACK HAWK,1991,124155
BLACK HAWK,1992,125601
BLACK HAWK,1993,126142
BLACK HAWK,1994,126976
BLACK HAWK,1995,127150
BLACK HAWK,1996,126936
BLACK HAWK,1997,127392
BLACK HAWK,1998,127275
BLACK HAWK,1999,127743
BLACK HAWK,2000,128013
BLACK HAWK,2001,127656
BLACK HAWK,2002,126628
BLACK HAWK,2003,126026
BLACK HAWK,2004,126077
BLACK HAWK,2005,126235
BLACK HAWK,2006,126556
BLACK HAWK,2007,126737
BLACK HAWK,2008,128040
BLACK HAWK,2009,129276
BLACK HAWK,2010,131090
BLACK HAWK,2011,131584
BLACK HAWK,2012,131878
BLACK HAWK,2013,132933
BLACK HAWK,2014,133390
BLACK HAWK,2015,133701
BLACK HAWK,2016,133077
BLACK HAWK,2017,132238
BLACK HAWK,2018,131723
BLACK HAWK,2019,131228
BLACK HAWK,2020,131144
BLACK HAWK,2021,130587
BLACK HAWK,2022,130081
BLACK HAWK,2023,131179
BLACK HAWK,2024,132348
BOONE,1990,25186
BOONE,1991,25200
BOONE,1992,25335
BOONE,1993,25259
