county,year,population
ADAIR,2024,7431
ADAMS,2024,3606
ALLAMAKEE,2024,14184
APPANOOSE,2024,12106
AUDUBON,2024,5562
BENTON,2024,25799
BLACK HAWK,2024,132348
BOONE,2024,26729
BREMER,2024,25328
BUCHANAN,2024,20733
BUENA VISTA,2024,20816
BUTLER,2024,14156
CALHOUN,2024,9711
CARROLL,2024,20407
CASS,2024,13024
CEDAR,2024,18231
CERRO GORDO,2024,42493
CHEROKEE,2024,11658
CHICKASAW,2024,11719
CLARKE,2024,9524
CLAY,2024,16474
CLAYTON,2024,16931
CLINTON,2024,46015
CRAWFORD,2024,16378
DALLAS,2024,115343
DAVIS,2024,9193
DECATUR,2024,7656
DELAWARE,2024,17609
DES MOINES,2024,38411
DICKINSON,2024,18158
DUBUQUE,2024,99242
EMMET,2024,9162
FAYETTE,2024,19152
FLOYD,2024,15008
FRANKLIN,2024,10024
FREMONT,2024,6494
GREENE,2024,8662
GRUNDY,2024,12405
GUTHRIE,2024,10774
HAMILTON,2024,14856
HANCOCK,2024,10616
HARDIN,2024,16464
HARRISON,2024,14626
HENRY,2024,19361
HOWARD,2024,9360
HUMBOLDT,2024,9617
IDA,2024,6810
IOWA,2024,16423
JACKSON,2024,19390
JASPER,2024,38107
JEFFERSON,2024,15781
JOHNSON,2024,160080
JONES,2024,21116
KEOKUK,2024,9855
KOSSUTH,2024,14408
LEE,2024,32376
LINN,2024,231762
LOUISA,2024,10630
LUCAS,2024,8758
LYON,2024,12378
MADISON,2024,17161
MAHASKA,2024,22034
MARION,2024,34048
MARSHALL,2024,40392
MILLS,2024,14717
MITCHELL,2024,10632
MONONA,2024,8429
MONROE,2024,7373
MONTGOMERY,2024,10063
MUSCATINE,2024,42132
O'BRIEN,2024,14260
OSCEOLA,2024,6036
PAGE,2024,15038
PALO ALTO,2024,8809
PLYMOUTH,2024,25825
POCAHONTAS,2024,7006
POLK,2024,516185
POTTAWATTAMIE,2024,93529
POWESHIEK,2024,18454
RINGGOLD,2024,4608
SAC,2024,9533
SCOTT,2024,175601
SHELBY,2024,11821
SIOUX,2024,36554
STORY,2024,102498
TAMA,2024,16738
TAYLOR,2024,5825
UNION,2024,11955
VAN BUREN,2024,7217
WAPELLO,2024,35681
WARREN,2024,56343
WASHINGTON,2024,22631
WAYNE,2024,6622
WEBSTER,2024,36909
WINNEBAGO,2024,10383
WINNESHIEK,2024,19723
WOODBURY,2024,107257
WORTH,2024,7307
WRIGHT,2024,12729
