county,year,total_probation_cases,owi_cases,owi_reincarcerated
ADAIR,2016,46,12,0
ADAIR,2017,55,10,2
ADAIR,2018,55,8,0
ADAIR,2019,17,5,1
ADAIR,2020,24,5,1
ADAIR,2021,44,15,0
ADAIR,2022,60,21,0
ADAMS,2016,12,2,0
ADAMS,2017,36,10,0
ADAMS,2018,47,8,0
ADAMS,2019,46,14,0
ADAMS,2020,28,6,0
ADAMS,2021,25,3,0
ADAMS,2022,18,4,0
ALLAMAKEE,2016,28,10,0
ALLAMAKEE,2017,44,9,0
ALLAMAKEE,2018,30,7,0
ALLAMAKEE,2019,36,11,0
ALLAMAKEE,2020,23,3,1
ALLAMAKEE,2021,18,6,1
ALLAMAKEE,2022,31,12,0
APPANOOSE,2016,45,6,0
APPANOOSE,2017,44,4,0
APPANOOSE,2018,41,3,0
APPANOOSE,2019,44,3,0
APPANOOSE,2020,29,3,1
APPANOOSE,2021,34,3,0
APPANOOSE,2022,33,3,0
AUDUBON,2016,33,17,1
AUDUBON,2017,40,13,0
AUDUBON,2018,35,8,0
AUDUBON,2019,31,6,0
AUDUBON,2020,16,3,0
AUDUBON,2021,24,14,1
AUDUBON,2022,45,25,1
BENTON,2016,51,12,1
BENTON,2017,62,12,1
BENTON,2018,60,16,0
BENTON,2019,89,31,0
BENTON,2020,46,5,0
BENTON,2021,35,10,0
BENTON,2022,34,5,0
BLACK HAWK,2016,800,140,10
BLACK HAWK,2017,716,134,6
BLACK HAWK,2018,698,111,8
BLACK HAWK,2019,654,76,5
BLACK HAWK,2020,574,98,2
BLACK HAWK,2021,517,120,2
BLACK HAWK,2022,569,125,2
BOONE,2016,32,5,0
BOONE,2017,48,10,2
BOONE,2018,53,9,2
BOONE,2019,51,8,0
BOONE,2020,41,5,1
BOONE,2021,69,8,0
BOONE,2022,66,10,2
BREMER,2016,101,42,0
BREMER,2017,124,72,0
BREMER,2018,120,51,0
BREMER,2019,110,49,1
BREMER,2020,118,49,1
BREMER,2021,108,39,2
BREMER,2022,130,44,0
BUCHANAN,2016,93,21,1
BUCHANAN,2017,120,37,1
BUCHANAN,2018,109,29,2
BUCHANAN,2019,114,36,5
BUCHANAN,2020,81,14,1
BUCHANAN,2021,72,22,2
BUCHANAN,2022,94,24,1
BUENA VISTA,2016,74,2,0
BUENA VISTA,2017,72,5,2
BUENA VISTA,2018,62,9,0
BUENA VISTA,2019,77,10,1
BUENA VISTA,2020,125,44,2
BUENA VISTA,2021,88,31,2
BUENA VISTA,2022,88,33,2
BUTLER,2016,35,13,0
BUTLER,2017,43,11,1
BUTLER,2018,32,14,0
BUTLER,2019,38,12,1
BUTLER,2020,24,7,0
BUTLER,2021,38,10,0
BUTLER,2022,32,6,0
CALHOUN,2016,9,0,0
CALHOUN,2017,11,1,0
CALHOUN,2018,9,1,0
CALHOUN,2019,9,0,0
CALHOUN,2020,16,8,1
