county,year,unemployment_rate,laborforce_sum,unemployment_sum
ADAIR,2000,2.692,53630,1440
ADAIR,2001,2.775,54700,1520
ADAIR,2002,3.658,53200,1960
ADAIR,2003,4.050,51580,2100
ADAIR,2004,4.158,51790,2160
ADAIR,2005,4.050,52920,2150
ADAIR,2006,3.183,53320,1710
ADAIR,2007,3.500,53070,1860
ADAIR,2008,3.958,52830,2110
ADAIR,2009,5.850,50840,2970
ADAIR,2010,5.608,49200,2780
ADAIR,2011,4.908,49390,2440
ADAIR,2012,4.350,48820,2120
ADAIR,2013,4.208,49000,2080
ADAIR,2014,4.050,49920,2010
ADAIR,2015,3.200,50810,1650
ADAIR,2016,3.033,50830,1540
ADAIR,2017,2.850,49620,1420
ADAIR,2018,2.525,49700,1250
ADAIR,2019,2.375,51150,1220
ADAIR,2020,4.025,49790,2000
ADAIR,2021,2.900,50780,1470
ADAIR,2022,2.292,50800,1190
ADAIR,2023,2.508,52010,1330
ADAIR,2024,2.633,52760,1400
ADAIR,2025,2.764,48830,1360
ADAMS,2000,3.833,28060,1090
ADAMS,2001,4.233,27520,1170
ADAMS,2002,4.733,26100,1230
ADAMS,2003,5.008,25600,1290
ADAMS,2004,5.000,25190,1270
ADAMS,2005,5.267,23990,1270
ADAMS,2006,4.558,24770,1130
ADAMS,2007,4.167,25330,1060
ADAMS,2008,4.150,25490,1050
ADAMS,2009,6.183,25860,1610
ADAMS,2010,4.875,26840,1320
ADAMS,2011,4.475,26640,1190
ADAMS,2012,3.933,26340,1040
ADAMS,2013,3.675,25890,960
ADAMS,2014,3.350,26600,890
ADAMS,2015,2.775,27550,780
ADAMS,2016,3.075,23110,730
ADAMS,2017,2.758,22130,630
ADAMS,2018,2.333,21980,520
ADAMS,2019,2.017,22570,450
ADAMS,2020,4.442,21050,940
ADAMS,2021,3.183,20910,700
ADAMS,2022,2.417,21360,530
ADAMS,2023,2.708,21090,590
ADAMS,2024,2.492,20960,530
ADAMS,2025,2.691,19500,530
ALLAMAKEE,2000,3.433,95670,3270
ALLAMAKEE,2001,4.008,101530,4080
ALLAMAKEE,2002,4.583,100450,4630
ALLAMAKEE,2003,5.508,97040,5350
ALLAMAKEE,2004,5.908,95500,5650
ALLAMAKEE,2005,5.283,96160,5080
ALLAMAKEE,2006,4.575,98410,4510
ALLAMAKEE,2007,4.800,98440,4710
ALLAMAKEE,2008,6.342,95130,6000
ALLAMAKEE,2009,10.317,90710,9370
ALLAMAKEE,2010,7.942,94930,7530
ALLAMAKEE,2011,7.233,93430,6780
